address,name,return_type,params,calling_convention
0001452d,decrement_counters_in_range,void,"ushort start_addr,ushort end_addr",__stdcall_far_allstack
0001454c,increment_counters_in_range,void,"ushort start_addr,ushort end_addr",__stdcall_far_allstack
0001456d,axis_interp_lerp_u8frac_256,ushort,"ushort y1,ushort y0,ushort frac",__stdcall_far_allstack
00014599,weighted_blend_u8frac,short,"ushort frac,ushort a,ushort b",__stdcall_far_allstack_32ret
000145c5,weighted_blend_4term_u8frac,,,
0001460d,weighted_blend_2term_u8frac_div255,undefined2,void,
00014656,table_lookup_interp,,,
00014735,axis_lookup_interp,,,
000147c6,axis_interp_lerp_u8frac,ushort,"ushort y0,ushort y1,short frac",__stdcall_far_allstack
0001481c,read_indexed_byte_f1fc,undefined1,"byte bank,void *array_base",__stdcall_far_allstack
00014838,table_read_word_indexed_f1fc,undefined2,"byte bank,void *array_base",
00014854,table_lookup_indexed,void,"ushort ep_val,void *table",__stdcall_far_2arg
00014880,table_read_indexed,ushort,"byte bank,void *array_base",__stdcall_far_allstack
000148a2,table_3axis_interp_triple,void,"ushort ep_val,void *table",__stdcall_far_2arg
0001497b,table_3axis_interp_triple_wrapper,void,"byte bank,void *array_base",
000149a7,gear_indexed_table_lookup_f1fc,undefined2,"byte bank,void *array_base",
000149c8,init_copy_const_block_via_memcpy_banked,void,void,
000149f5,eeprom_backup_table_write_dispatch,,,
00014d6f,channel_validity_gated_handler_dispatch,,,
00014dd8,adc_backup_snapshot_write_if_time_elapsed,void,void,
00014edd,channel_periodic_update_ringbuf_snapshot,,,
0001504b,adc_5channel_backup_snapshot_write,,,
0001517c,entry,void,void,
0001519e,stub_empty_0x1519e,void,void,
000151a0,noop_return,void,void,
000151a2,peripheral_register_cold_init,undefined2,void,
0001528c,peripheral_register_warm_init,undefined2,void,
00015319,update_flag_f9a0_bit6_cond,void,void,
00015341,compose_status_words_f0f6_fc,undefined2,undefined2 param_1,
00015477,compose_status_word_f102,undefined2,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
0001553d,check_flag_fe96_bit7_clear,bool,void,
00015549,check_flag_f0d8_bit0_clear,uchar,void,
00015555,check_flag_fe87_bit1_clear,bool,void,
00015561,check_flag_fe8a_bit1_set,bool,void,
0001556d,adc_read_sequence_main,,,
0001566c,adc_channel_read_and_store_f16e,,,
00015689,adc_read_sequence_b,,,
000156ad,adc_read_channel_6,undefined2,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
000156c2,zero_var_f15a,void,void,
000156c8,identity_passthrough_u16_b,undefined2,undefined2 param_1,
000156ce,mirror_status_f0e6_to_ports,,,
0001578f,mirror_status_f0ea_to_ports,ushort,ushort param_1,
00015857,update_flag_fe97_bit2_cond,void,void,
00015877,update_flag_fe82_bit2_cond,void,void,
00015897,toggle_flag_fe8b_bit4,void,void,
0001589d,clear_flag_fe93_bit4,void,void,
000158a7,update_port_fe82_indexed,undefined2,undefined2 param_1,
000158d7,software_pwm_output_scheduler,,,
00015a06,serial_fef9_duty_scale_and_set,undefined2,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00015a3a,init_scale_factor_f9ac,,,
00015a6c,identity_passthrough_arg1_unused,,,
00015a76,peripheral_regs_ff2x_ff9x_bulk_zero_init,void,void,
00015aff,init_reg_feb8_feb9,void,void,
00015b0b,noop_return_void,void,void,
00015b0d,adc_channel_convert_and_read,,,
00015b3f,init_state_block_f97a,ushort,ushort param_1,
00015b90,init_flags_ff51_52,void,void,
00015b9e,sci1_timing_period_tracker,void,ushort param_1,
00015c0a,isr_sci1_eri_reset_timeout,ushort,ushort param_1,
00015c6c,detect_sci1_param_change_reset,undefined2,undefined2 param_1,
00015caa,isr_sci1_eri,void,ushort param_1,
00015cbd,timer_block_cold_init,undefined2,undefined2 param_1,
00015d36,timer_block_cold_init_b,void,void,
00015d92,isr_sci2_eri,undefined2,"undefined2 param_1,undefined2 param_2",
00015dd0,timer_ff41_ff44_ff4a_cold_init,undefined2,undefined2 param_1,
00015e01,timer_ff41_ff42_warm_init,void,void,
00015e17,sci3_timeout_set_abort,,,
00015e79,sci3_timeout_set_retry,,,
00015edb,sci3_timeout_clear_flag,undefined2,ushort channel_mask,__stdcall_far_allstack
00015f1a,timer_ff44_ff4a_arm_channels_atomic,undefined2,ushort channel_mask,__stdcall_far_allstack
00015f71,timer4_oc_arm_from_flags,undefined2,ushort channel_mask,__stdcall_far_allstack
00015fc8,isr_sci3_rxi,undefined2,"undefined2 param_1,undefined2 param_2",
00015fec,isr_sci3_txi,undefined2,"undefined2 param_1,undefined2 param_2",
00016029,compose_status_bits_fe86_fe8a,byte,void,
00016059,peripheral_block_ff15_cold_init,void,void,
0001609d,peripheral_block_ff15_warm_init,void,void,
000160d9,isr_nmi,,,
00016102,peripheral_reg_ff1d_cold_init,void,void,
00016109,peripheral_reg_ff1d_warm_init,void,void,
00016110,latch_flag_read_fede_bit1,bool,void,
00016128,check_flag_fede_bit2_clear_if_set,bool,void,
00016140,latch_flag_read_fede_bit3,bool,void,
00016158,stub_empty_0x16158,void,void,
0001615a,stub_empty_0x1615a,void,void,
0001615c,propagate_flag_fe96_to_f0d8_db,undefined2,undefined2 param_1,
000161ba,peripheral_block_ff90_cold_init,void,void,
000161d0,peripheral_block_ff90_warm_init,void,void,
000161e6,scale_counter_ff96_to_byte_clamped,ushort,void,
00016222,init_state_block_ff21,undefined2,undefined2 param_1,
0001626c,peripheral_block_ff21_warm_init,undefined2,undefined2 param_1,
00016297,multi_channel_reg_write_and_poll_ff2x_ff3x,,,
000163cc,isr_adi_adc,undefined2,"undefined2 param_1,undefined2 param_2",
000163eb,ff2a_set_clamped_to_ff26p2_atomic,undefined2,undefined2 param_1,
00016410,compose_fe86_fe8a_status_nibble,byte,void,
0001643a,timer_ff51_ff54_arm_init,undefined2,undefined2 param_1,
0001645e,timer_ff51_ff52_disarm,void,void,
0001646c,init_state_block_ff54,void,void,
00016488,timer_ff5a_set_clamped_armed,undefined2,short timeout_value,__stdcall_far_allstack
000164b7,serial_fef4_cold_init,void,void,
000164da,serial_fef4_warm_init,void,void,
000164f8,serial_fef1_set_clamped,void,ushort param_1,
00016505,serial_fef5_set_clamped,void,ushort param_1,
00016512,serial_fef9_set_clamped,void,ushort param_1,
0001651f,peripheral_block_fec0_fed0_cold_init,void,void,
0001655a,peripheral_fec0_fed0_state_update,undefined2,undefined2 param_1,
00016600,serial_fec3_load_byte0_init,undefined2,undefined2 param_1,
00016631,serial_fec3_load_next_byte,undefined2,undefined2 param_1,
00016680,serial_fec5_byte_to_fifo,,,
000166cd,latch_request_f588,ushort,ushort param_1,
000166d7,sci1_tx_response_feeder,undefined2,undefined2 param_1,
00016716,sci1_rx_frame_accumulator,,,
0001677c,sci_request_latch_f58a_conditional,,,
00016786,sci_fifo_f58a_advance_and_load_fed3,void,void,
000167c5,fedd5_fifo_rx_store_byte,ushort,ushort param_1,
0001682b,isr_tpu5_tgi5a_sci1_rx_poll,void,ushort param_1,
00016865,isr_tpu5_tgi5b_sci1_tie_clear,void,void,
00016872,isr_tpu5_tci5u,void,void,
00016890,init_state_sentinels_f5d2,undefined2,undefined2 param_1,
000168d9,peripheral_ff42_ff62_enable,void,void,
000168e3,isr_ipu_ch2ch4_input_capture,,,
00016a97,flag_read_ff43_bit0_inverted,uchar,void,
00016aa3,peripheral_block_ff70_ff88_cold_init,void,void,
00016b83,peripheral_block_ff70_ff88_warm_init,void,void,
00016c09,f978_read_and_clear,ushort,void,
00016c13,f978_increment_on_ff73_bit0,void,void,
00016c33,ff88_set_scaled_clamped,void,short sValue,
00016c4f,isr_tpu3_tgi3a,void,void,
00016d40,pwm_ch0_period_track_update,void,void,
00016e1c,pwm_ch1_period_track_update,void,void,
00016ef8,isr_tpu3_tgi3b,undefined2,"undefined2 param_1,undefined2 param_2",
00016f23,f9a0_read_clear_bit0_atomic,bool,void,
00016f3b,f9a0_read_clear_bit4_atomic,bool,void,
00016f53,f9a0_read_clear_bit8_atomic,bool,void,
00016f6b,peripheral_block_ff00_cold_init,void,void,
00016fe2,peripheral_block_ff00_warm_init,ushort,ushort param_1,
0001709a,sci1_rx_setup,void,void,
000170eb,sci1_tx_setup,undefined2,undefined2 param_1,
00017154,ff0d_clear_bits5_6,void,void,
0001715e,stub_empty_0x1715e,void,void,
00017160,adc_sensor_convert_multi,,,
000171c3,adc_sensor_convert_single,,,
00017206,byte_sum_banked,char,"uchar bank,char *offset,short count",__stdcall_far_allstack
0001722b,sum_byte_array,short,"uchar bank,uchar *offset,short count",__stdcall_far_allstack
00017256,memcpy_banked,,,
00017300,stub_empty_0x17300,void,void,
00017302,engine_state_f498_init,void,void,
00017361,periodic_task_dispatcher,void,void,
000173c0,ign_advance_f0e6_bit7_update,,,
000173e0,ign_advance_table_lookup,ushort,void,
000174a1,engine_mode_f20e_f510_check,bool,void,
000174c0,isc_f0e6_bit0_update,void,void,
000174d4,knock_condition_eval,bool,void,
000175f0,isc_target_calc_and_store,void,void,
00017654,isc_condition_eval,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00017742,isc_stepper_enable_check,undefined2,void,
0001792f,isc_decel_fuel_cut_check,bool,void,
0001799f,isc_f03e_f45a_timer_update,ushort,ushort usInputVal,
000179e5,isc_stepper_mode_dispatch,ushort,void,
00017a94,isc_stepper_position_calc,ushort,"undefined2 param_1,undefined2 param_2,ushort param_3",
00017bc2,isc_stepper_secondary_position_calc,ushort,void,
00017c75,isc_openloop_target_calc,ushort,void,
00017dd3,isc_integrator_update,void,void,
0001821d,isc_stepper_blend_from_struct,,,
000182e8,isc_stepper_output_calc,ushort,void,
00018357,isc_f462_integrator_update,ushort,void,
0001842b,isc_dashpot_override_check,,,
00018450,isc_f462_position_ramp,ushort,void,
000184c3,isc_openloop_stepper_scale_calc,void,void,
00018502,isc_activation_control_f466,void,void,
000185a6,f0ea_bit6_update_from_mode_check,void,void,
000185de,engine_mode_f512_bit4_check,bool,void,
00018600,egr_f0e6_bit1_update,,,
00018628,egr_activity_condition_check,bool,void,
00018650,egr_target_f448_update,,,
00018689,egr_coolant_rpm_enable_check,bool,void,
000186fa,egr_duty_target_calc,,,
000187a0,egr_mode_dispatch,void,void,
000187cf,egr_sequence_control,void,void,
00018848,egr_valve_state_eval_f490,undefined1,void,
000189c0,egr_f490_condition_flags_update,,,
00018a55,check_hysteresis_gate_f490,bool,void,
00018ae5,check_mode_gate_f510,ushort,void,
00018b17,egr_f490_gear_transition_update,,,
00018b63,egr_f0e6_valve_bits_update,,,
00018bc2,egr_position_target_f494_calc,,,
00018cd0,egr_table_row_lookup_f496,undefined1,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00018db0,purge_f0e6_bit2_update,,,
00018dca,purge_enable_check,short,void,
00018e70,ign_advance_top_update,void,void,
00018e93,ign_advance_enable_flags_f440_update,void,void,
00018f8a,ign_advance_base_calc_f860,undefined2,void,
00018fe0,wgdc_correction_integrator_update,,,
000190df,ign_advance_idle_correction_f44e,void,void,
00019110,wgdc_output_clamp_f44c,,,
000191a0,ign_advance_load_correction_f450,void,void,
000191f0,rpm_map_zone_flags_f43e_update,void,void,
00019240,f0ea_bit7_rpm_zone_update,void,void,
0001928e,f0ea_bit7_f43e_bit3_clear,void,void,
000192ac,rpm_zone_enable_check,bool,void,
00019350,f0e6_bit6_update,,,
00019364,ign_advance_rpm_zone_enable_check,undefined2,void,
000193f0,stub_empty_193f0,void,void,
00019400,canister_purge_control_flags_f4d6_update,void,void,
000194d0,canister_purge_mode_dispatch,void,void,
000194f2,canister_purge_gear_mode_select_f4a2,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
0001952c,canister_purge_feedback_active_check,undefined2,void,
00019560,canister_purge_duty_calc_f4ac,,,
00019640,diagnostic_status_f4b4_build,void,void,
00019720,o2_sensor_control_dispatch,void,void,
000197f4,o2_upstream_enable_check,undefined2,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
000198f2,o2_downstream_enable_check,undefined2,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
000199f0,calc_load_correction_f10e,undefined2,void,
00019af0,o2_heater_fuel_ctrl_top_update,void,void,
00019b2a,o2_heater_timer_f088_update,short,void,
00019b5e,o2_heater_iat_zone_select_f4f0,void,void,
00019bbc,o2_heater_duty_f4da_calc,,,
00019cb3,o2_heater_duty_downstream_correction,void,void,
00019d0e,o2_heater_soak_enable_check,bool,void,
00019d4b,o2_heater_force_off_check,bool,void,
00019d80,channel_dispatch_and_snapshot_update,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00019e6d,channel_event_or_periodic_dispatch,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00019efa,channel_data_flush_if_active,void,void,
00019f35,o2_lambda_or_passthrough_select,,,
00019f49,o2_sensor_gain_divisor,undefined2,void,
00019f77,o2_wideband_mode_zero_check,,,
00019f90,o2_wideband_cell_offset_adjust,ushort,void,
00019ff2,o2_wideband_midpoint_select,,,
0001a00c,o2_lambda_correction_apply,undefined2,void,
0001a042,o2_sensor_mode_correction_select,undefined2,void,
0001a0a7,o2_wideband_lsu_mode_check,bool,void,
0001a0c4,o2_mode7_8_correction_apply,undefined2,void,
0001a0fa,o2_mode9_10_correction_apply,undefined2,void,
0001a130,o2_mode11_lambda_select,,,
0001a146,o2_mode16_lambda_select,undefined2,void,
0001a15c,o2_closed_loop_config_check,bool,void,
0001a182,o2_sensor2_correction_apply,ushort,void,
0001a1b9,o2_sensor2_mode3_midpoint,,,
0001a1cc,o2_downstream_type34_check,bool,void,
0001a1e5,o2_downstream_clamp_by_type,,,
0001a205,o2_wideband_mode82_check,bool,void,
0001a212,o2_sensor2_mode20_select,,,
0001a228,o2_downstream_mode20_select,,,
0001a23e,o2_downstream_mode21_select,,,
0001a254,o2_config4_mode16_check,bool,void,
0001a261,o2_downstream_mode17_check,bool,void,
0001a26e,o2_downstream_correction_apply,undefined2,void,
0001a2a4,o2_downstream_mode64_select,,,
0001a2ba,o2_downstream_mode66_select,,,
0001a2d0,o2_mode65_lambda_select,undefined2,void,
0001a2e6,o2_downstream_mode48_select,,,
0001a300,o2_trim_cell_states_reset,void,void,
0001a306,fuel_trim_full_state_reset,void,void,
0001a30c,dtc_and_status_update,void,void,
0001a31a,status_flags_f202_build,void,void,
0001a36f,dtc_status_flags_f204_f206_build,ushort,void,
00020000,flash_boot_init,void,undefined2 param_1,
00020024,boot_ram_block_copy,,,
00020030,boot_main_loop,void,void,
00020048,boot_sci1_init,void,byte bFec9Init,
0002006e,boot_sci1_receive_command,void,void,
00020084,boot_sci1_receive_config_bytes,void,void,
00020104,boot_sci1_rom_id_verify,void,void,
0002014c,sci1_boot_cmd_type_rx_validate,void,void,
0002016e,sci1_boot_cmd_dispatch,void,void,
000201c0,sci1_boot_security_seed_check,,,
000201ec,sci1_boot_flash_erase_dispatch,void,void,
000202b2,sci1_boot_checksum_accumulate,,,
000202c9,sci1_boot_flash_write_param_rx,void,void,
0002036d,scratch_pjmp_demo,void,void,
00020379,sci1_tx_byte_blocking,void,uchar byte_to_send,
00020388,sci1_boot_tx_then_rx_transaction,void,uchar param_1,
0002038d,sci1_rx_byte_wait_loop,void,void,
00020398,sci1_boot_rx_byte_enqueue,void,void,
0002039f,sci1_boot_rxbuf_write,void,"undefined1 param_1,undefined2 param_2,undefined2 param_3",
000203bd,sci1_boot_rxbuf_read,uchar,void,
000203e4,sci1_rx_byte_poll_or_error,undefined1,undefined1 param_1,
0002041b,sci1_boot_tx_buf_drain,void,"char param_1,undefined1 *param_2",
0002042c,sci1_boot_handshake_and_bulk_rx,,,
00020461,sci1_boot_flash_addr_range_validate,,,
000204dd,sci1_boot_flash_write_block_loop,void,"ushort param_1,undefined2 param_2,undefined1 param_3",
000205a7,sci1_boot_build_data_frame,short,"ushort cmd_and_len,char *payload,ushort tx_offset",
000205fe,sci1_boot_build_row_addr_frame,undefined2,"undefined2 param_1,char param_2,char *param_3",
00020640,sci1_boot_switch_case4_frag_20640,,,
00020646,sci1_boot_build_eof_frame,ushort,"ushort param1,ushort param2,ushort tx_offset",
00020664,sci1_colon_frame_dispatch,undefined1,undefined1 param_1,
00020715,sci1_boot_ihex_colon_record_decode_dispatch,,,
00020782,f26e_cluster_accumulator_unrelated_to_ihex,void,byte param_1,
0002080c,flash_erase_sectors,void,undefined2 param_1,
00020844,flash_write_or_verify,short,undefined2 param_1,
00020888,flash_write_marked_blocks_loop,,,
000208c6,flash_byte_program_verify,ushort,"uchar param1,char *verify_addr",
00020910,flash_timing_delay,void,short delay_count,
0002093c,flash_erase_sector_loop,void,void,
00020992,flash_vpp_pulse_handshake_echo_verify,,,
00020a80,main_loop,void,void,
00020b00,cold_init_dispatch,void,void,
00020b1c,subsystem_cold_init,void,void,
00020b5e,check_cold_init_complete_sentinel_ef62,undefined2,void,
00020ccd,subsystem_unconditional_init_chain,void,void,
00020d80,peripheral_cold_init_wrapper_set_ef7a,void,void,
00020d8b,status_word_consumer_periodic,void,void,
00020e00,init_ee82_ee8a_from_rom_const,void,void,
00020e10,post_init_status_compose_and_ef98_signal,void,void,
00020e89,table_select_scale_fanout_f1be_f1c2,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00020efa,main_loop_engine_control_update,void,void,
00020f28,gear_state_config_loader_f1fc,,,
00020fb1,cond_reset_and_latch_f10e_f118_prev,ushort,void,
00020fe5,periodic_status_compose_and_stall_check,void,void,
00021003,compose_status_word_f0f8,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00021107,fuel_cut_enable_check,ushort,void,
000211a1,fuel_cut_rpm_offset_select,,,
000211c8,crank_stall_detect_update,void,void,
000211fb,sensor_adc_update,void,void,
00021219,map_tps_axis_update,void,void,
0002127f,tps_range_clamp_update,void,void,
00021314,calc_f110_f10e_via_table,void,void,
00021396,iat_axis_update,void,void,
000213da,calc_f118_via_table,void,void,
00021414,coolant_temp_validity_and_scale,,,
0002144b,coolant_temp_range_check,ushort,void,
00021480,manifold_heat_enable_flag_update,void,void,
000214ea,tps_delta_calc,void,void,
0002153b,iac_position_integrator,void,void,
000215c8,idle_closed_loop_ready_check,ushort,void,
00021636,throttle_target_ramp_update,void,void,
000217b6,throttle_ramp_enable_check,ushort,void,
000217e3,throttle_body_update,void,void,
0002180b,engine_torque_scale_state_reset,void,void,
0002184b,engine_torque_pct_scale_calc,,,
000218c0,throttle_body_pos_error_calc,void,void,
00021928,throttle_param_table_select,void,void,
00021942,lambda_enable_flag_update,void,void,
00021962,lambda_enable_inhibit_check,uchar,void,
00021983,lambda_correction_output_calc,void,void,
000219e2,fueling_lambda_update,void,void,
00021a0e,fueling_base_injection_calc,void,void,
00021aa5,fueling_accel_enrichment_calc,ushort,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00021af3,fueling_openloop_output_copy,void,void,
00021b2d,fueling_throttle_zone_flags_update,void,void,
00021b8f,fueling_inj_target_select,void,void,
00021bf3,fueling_inj_accum_clamp_drain,void,void,
00021c2f,fueling_inj_pw_calc,void,void,
00021d5e,fueling_wideband_output_scale,void,void,
00021dc8,fueling_coolant_inj_offset_calc,void,void,
00021df5,rpm_load_zone_counter_update,void,void,
00021f00,inj_channel_state_init,,,
00021f21,ecu_openloop_state_reset,void,void,
00021f2e,main_control_loop_update,void,void,
00021f70,control_state_latch_prev,void,void,
00021f92,diag_flag_clear_and_param_reload,void,void,
00021fa0,f216_bit6_update_from_hysteresis_gate,void,void,
00021fba,f1e6_hysteresis_gate_check,ushort,void,
00021fff,f33e_bit0_update_from_rpm_load_window,void,void,
00022013,rpm_load_window_condition_check,ushort,void,
0002204a,f216_bit4_update_table_1cc7,void,void,
0002207f,f216_low_nibble_update_table_1cc3,void,void,
000220e9,f218_shift_in_f216_low_nibble,void,void,
00022111,f216_bit8_update_from_recovery_chain,void,void,
0002214a,f224_threshold_tier_and_change_flag,void,void,
00022193,stub_zero_0x22193,ushort,void,
00022197,ef9e_latch_from_multi_threshold_check,uchar,void,
000221f0,efa0_max_hold_and_recovered_check,ushort,void,
00022225,tcu_link_confirmed_flag_f226_bit7_update,,,
00022256,f226_bit8_update_from_f4c0_check,void,void,
00022284,f25e_bit6_update_from_decel_fuel_cut,void,void,
000222a6,decel_fuel_cut_eval,undefined2,void,
00022377,check_flag_f0f8_bit2_clear,uchar,void,
00022386,aux_load_enable_flag_update,void,void,
000223a0,aux_load_condition_check,ushort,void,
000223d3,post_start_enrich_timer_update,void,void,
00022442,o2_heater_ready_flag_update,void,void,
00022488,mode_state_update,void,void,
000224a6,openloop_mode_bit_update,void,void,
000224ba,closedloop_inhibit_check,ushort,void,
000224d5,cranking_mode_bit_update,void,void,
000224e9,cranking_detect_check,uchar,void,
0002254b,warmup_mode_state_machine,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
000225be,closedloop_eligibility_check,ushort,void,
000226de,rpm_sync_ready_check,ushort,void,
000226fd,closedloop_fuel_ready_check,bool,void,
00022746,o2_temp_ready_check,undefined2,void,
0002279a,o2_ready_timer_update,short,"undefined2 _unused_far_pad,short mode",__stdcall_far
0002280f,warmup_ign_advance_correction_calc,void,void,
00022898,warmup_correction_f25a_f0f8_f212_calc,void,void,
000228ed,f216_bits_f188_f17a_update_and_warmup_gate,,,
0002297f,warmup_complete_gate_check,undefined2,void,
000229c0,f20e_bit1_mirror_from_f1fe_bit3,void,void,
000229d2,engine_mode_dispatch_and_f240_edge_counter,void,void,
00022a57,f240_counter_reset_and_f074_table_load,undefined2,void,
00022a97,f21c_bit12_update_dispatcher,void,void,
00022ab3,f21c_bit9_hysteresis_and_f23e_table_ramp,void,void,
00022bb3,f21c_bit8_hysteresis_from_table_variant,void,void,
00022c11,f21c_bit12_source_condition_check,ushort,void,
00022c60,f21c_bit1_update_dispatcher,void,void,
00022c74,f21c_bit1_source_condition_check,ushort,void,
00022c89,f224_bits01_update_and_efa8_edge_latch,void,void,
00022d12,status_word_composite_multibit_update_via_table,,,
00022e38,struct_bit11_toggle_from_gate_check,,,
00022e64,f21c_bit1_and_struct_bit5_gate_check,undefined2,void,
00022ead,f20e_f210_clear_chain_and_o2_closedloop_gate,void,void,
00022f16,o2_sensor2_threshold_flag_update_f226_bit13,,,
00022f82,f224_bit10_update_from_f20e_check,ushort,void,
00023000,init_state_block_ee98_80_call_wrapper,void,void,
00023006,init_state_block_ee98_80,void,void,
00023027,f2f0_f2f8_ring_and_f27x_f2cc_periodic_init,,,
0002308e,engine_periodic_correction_master_dispatch,void,void,
000230c4,knock_octane_trim_master_dispatch,void,void,
0002311b,f25e_gate_chain_dispatch_b,void,void,
00023125,f25e_gate_chain_dispatch_a,void,void,
00023145,f07c_multi_channel_threshold_gate_check,,,
00023179,f25e_bit10_update_from_f216_gate,,,
00023193,f216_bit5_hysteresis_gate_check,,,
000231da,f25e_bit11_update_from_f224_gate,,,
000231f4,f224_bit11_hysteresis_timer_and_gate_check,"f18c/f10e, runs a saturating bank1 counter at",capped 0..0xff) gated by f224 bit11 (0x800,
000232c3,status_word_bit3_conditional_update_via_table,,,
00023332,f25e_bit8_update_from_f110_gate,void,void,
00023346,f110_f17a_threshold_gate_check,ushort,void,
00023371,f25e_bit14_update_from_f186_f17a_gate,void,void,
00023397,knock_octane_dual_axis_blend_far_trampoline,,,
0002339d,knock_octane_dual_axis_table_blend_f2a8,,,
00023424,f190_f196_select_by_f1f0_f21c_gate,ushort,void,
00023448,f28e_f292_knock_lambda_composite_calc,,,
00023523,f2a0_f2c6_dual_timer_decay_and_f2c8_blend_dispatch,void,void,
00023606,efba_timer_target_select_from_f2a0_thresholds,void,void,
00023660,efbc_timer_target_select_from_f2c6_thresholds,void,void,
0002369a,f2b6_knock_retard_state_select,,,
00023755,f2ca_table_override_from_f114_gate,,,
000237a0,o2_closed_loop_fuel_trim_compute,,,
000238d8,f0ba_f2b2_threshold_blend_calc,,,
0002392c,f266_knock_octane_composite_trim_compute,,,
00023a9a,knock_octane_secondary_dispatch,void,void,
00023aaa,knock_octane_secondary_dispatch_sub,void,void,
00023abe,octane_trim_f262_f264_table_select,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00023bf9,calc_staged_index_f0f8,short,void,
00023c4a,knock_octane_trim_gate_dispatch,void,void,
00023c5c,knock_octane_trim_gate_condition_check,undefined2,void,
00023d4f,knock_octane_trim_ramp_update,ushort,ushort param_1,
00023e60,status_word_table_subdispatch_group_a,void,void,
00023e8b,f276_f27a_dual_channel_compute_via_table,,,
00023ed7,f26e_o2_closed_loop_output_blend_via_table,,,
