rvr_address,name,evo5_status,evo5_address,evo5_prior_name
00015341,compose_status_words_f0f6_fc,APPLIED,00015341,compose_status_words_f0f6_fc
00015477,compose_status_word_f102,APPLIED,00015477,FUN_00015477
0001553d,check_flag_fe96_bit7_clear,APPLIED,0001553d,check_flag_fe96_bit7_clear
00015549,check_flag_f0d8_bit0_clear,APPLIED,00015549,FUN_00015549
00015555,check_flag_fe87_bit1_clear,APPLIED,00015555,check_flag_fe87_bit1_clear
00015561,check_flag_fe8a_bit1_set,APPLIED,00015561,check_flag_fe8a_bit1_set
0001556d,adc_read_sequence_main,APPLIED,0001556d,FUN_0001556d
0001566c,adc_channel_read_and_store_f16e,APPLIED,0001566c,FUN_0001566c
00015689,adc_read_sequence_b,APPLIED,00015689,FUN_00015689
000156ad,adc_read_channel_6,APPLIED,000156ad,FUN_000156ad
000156c2,zero_var_f15a,APPLIED,000156c2,zero_var_f15a
000156c8,identity_passthrough_u16_b,APPLIED,000156c8,identity_passthrough_u16_b
000156ce,mirror_status_f0e6_to_ports,APPLIED,000156ce,mirror_status_f0e6_to_ports
0001578f,mirror_status_f0ea_to_ports,APPLIED,0001578f,FUN_0001578f
00015857,update_flag_fe97_bit2_cond,APPLIED,00015857,update_flag_fe97_bit2_cond
00015877,update_flag_fe82_bit2_cond,APPLIED,00015877,update_flag_fe82_bit2_cond
00015897,toggle_flag_fe8b_bit4,APPLIED,00015897,toggle_flag_fe8b_bit4
0001589d,clear_flag_fe93_bit4,APPLIED,0001589d,clear_flag_fe93_bit4
000158a7,update_port_fe82_indexed,APPLIED,000158a7,update_port_fe82_indexed
000158d7,software_pwm_output_scheduler,APPLIED,000158d7,software_pwm_output_scheduler
00015a06,serial_fef9_duty_scale_and_set,APPLIED,00015a06,FUN_00015a06
00015a3a,init_scale_factor_f9ac,APPLIED,00015a3a,init_scale_factor_f9ac
00015a6c,identity_passthrough_arg1_unused,NO_FUNCTION,,
00015a76,peripheral_regs_ff2x_ff9x_bulk_zero_init,APPLIED,00015a76,peripheral_regs_ff2x_ff9x_bulk_zero_init
00015aff,init_reg_feb8_feb9,APPLIED,00015aff,init_reg_feb8_feb9
00015b0b,noop_return_void,APPLIED,00015b0b,FUN_00015b0b
00015b0d,adc_channel_convert_and_read,APPLIED,00015b0d,adc_channel_convert_and_read
00015b3f,init_state_block_f97a,APPLIED,00015b3f,FUN_00015b3f
00015b90,init_flags_ff51_52,APPLIED,00015b90,init_flags_ff51_52
00015b9e,sci1_timing_period_tracker,APPLIED,00015b9e,FUN_00015b9e
00015c0a,isr_sci1_eri_reset_timeout,APPLIED,00015c0a,FUN_00015c0a
00015c6c,detect_sci1_param_change_reset,APPLIED,00015c6c,detect_sci1_param_change_reset
00015caa,isr_sci1_eri,APPLIED,00015caa,FUN_00015caa
00015cbd,timer_block_cold_init,APPLIED,00015cbd,FUN_00015cbd
00015d36,timer_block_cold_init_b,APPLIED,00015d36,timer_block_cold_init_b
00015d92,isr_sci2_eri,APPLIED,00015d92,FUN_00015d92
00015dd0,timer_ff41_ff44_ff4a_cold_init,APPLIED,00015dd0,timer_ff41_ff44_ff4a_cold_init
00015e01,timer_ff41_ff42_warm_init,APPLIED,00015e01,timer_ff41_ff42_warm_init
00015e17,sci3_timeout_set_abort,APPLIED,00015e17,sci3_timeout_set_abort
00015e79,sci3_timeout_set_retry,APPLIED,00015e79,FUN_00015e79
00015edb,sci3_timeout_clear_flag,APPLIED,00015edb,sci3_timeout_clear_flag
00015f1a,timer_ff44_ff4a_arm_channels_atomic,APPLIED,00015f1a,timer_ff44_ff4a_arm_channels_atomic
00015f71,timer4_oc_arm_from_flags,APPLIED,00015f71,timer4_oc_arm_from_flags
00015fc8,isr_sci3_rxi,APPLIED,00015fc8,FUN_00015fc8
00015fec,isr_sci3_txi,APPLIED,00015fec,FUN_00015fec
00016029,compose_status_bits_fe86_fe8a,APPLIED,00016029,compose_status_bits_fe86_fe8a
00016059,peripheral_block_ff15_cold_init,APPLIED,00016059,peripheral_block_ff15_cold_init
0001609d,peripheral_block_ff15_warm_init,APPLIED,0001609d,peripheral_block_ff15_warm_init
000160d9,isr_nmi,APPLIED,000160d9,isr_nmi
00016102,peripheral_reg_ff1d_cold_init,APPLIED,00016102,FUN_00016102
00016109,peripheral_reg_ff1d_warm_init,APPLIED,00016109,FUN_00016109
00016110,latch_flag_read_fede_bit1,APPLIED,00016110,latch_flag_read_fede_bit1
00016128,check_flag_fede_bit2_clear_if_set,NO_FUNCTION,,
00016140,latch_flag_read_fede_bit3,APPLIED,00016140,latch_flag_read_fede_bit3
00016158,stub_empty_0x16158,APPLIED,00016158,FUN_00016158
0001615a,stub_empty_0x1615a,APPLIED,0001615a,FUN_0001615a
0001615c,propagate_flag_fe96_to_f0d8_db,APPLIED,0001615c,propagate_flag_fe96_to_f0d8_db
000161ba,peripheral_block_ff90_cold_init,APPLIED,000161ba,FUN_000161ba
000161d0,peripheral_block_ff90_warm_init,APPLIED,000161d0,FUN_000161d0
000161e6,scale_counter_ff96_to_byte_clamped,APPLIED,000161e6,scale_counter_ff96_to_byte_clamped
00016222,init_state_block_ff21,APPLIED,00016222,init_state_block_ff21
0001626c,peripheral_block_ff21_warm_init,APPLIED,0001626c,peripheral_block_ff21_warm_init
00016297,multi_channel_reg_write_and_poll_ff2x_ff3x,APPLIED,00016297,multi_channel_reg_write_and_poll_ff2x_ff3x
000163cc,isr_adi_adc,APPLIED,000163cc,FUN_000163cc
000163eb,ff2a_set_clamped_to_ff26p2_atomic,NO_FUNCTION,,
00016410,compose_fe86_fe8a_status_nibble,APPLIED,00016410,compose_fe86_fe8a_status_nibble
0001643a,timer_ff51_ff54_arm_init,APPLIED,0001643a,timer_ff51_ff54_arm_init
0001645e,timer_ff51_ff52_disarm,APPLIED,0001645e,timer_ff51_ff52_disarm
0001646c,init_state_block_ff54,APPLIED,0001646c,init_state_block_ff54
00016488,timer_ff5a_set_clamped_armed,APPLIED,00016488,timer_ff5a_set_clamped_armed
000164b7,serial_fef4_cold_init,UNVERIFIED_HASH_MISMATCH,000164b7,FUN_000164b7
000164da,serial_fef4_warm_init,NO_FUNCTION,,
000164f8,serial_fef1_set_clamped,NO_FUNCTION,,
00016505,serial_fef5_set_clamped,NO_FUNCTION,,
00016512,serial_fef9_set_clamped,NO_FUNCTION,,
0001651f,peripheral_block_fec0_fed0_cold_init,NO_FUNCTION,,
0001655a,peripheral_fec0_fed0_state_update,NO_FUNCTION,,
00016600,serial_fec3_load_byte0_init,NO_FUNCTION,,
00016631,serial_fec3_load_next_byte,NO_FUNCTION,,
00016680,serial_fec5_byte_to_fifo,NO_FUNCTION,,
000166cd,latch_request_f588,NO_FUNCTION,,
000166d7,sci1_tx_response_feeder,NO_FUNCTION,,
00016716,sci1_rx_frame_accumulator,NO_FUNCTION,,
0001677c,sci_request_latch_f58a_conditional,NO_FUNCTION,,
00016786,sci_fifo_f58a_advance_and_load_fed3,NO_FUNCTION,,
000167c5,fedd5_fifo_rx_store_byte,NO_FUNCTION,,
0001682b,isr_tpu5_tgi5a_sci1_rx_poll,NO_FUNCTION,,
00016865,isr_tpu5_tgi5b_sci1_tie_clear,NO_FUNCTION,,
00016872,isr_tpu5_tci5u,NO_FUNCTION,,
00016890,init_state_sentinels_f5d2,NO_FUNCTION,,
000168d9,peripheral_ff42_ff62_enable,NO_FUNCTION,,
000168e3,isr_ipu_ch2ch4_input_capture,NO_FUNCTION,,
00016a97,flag_read_ff43_bit0_inverted,NO_FUNCTION,,
00016aa3,peripheral_block_ff70_ff88_cold_init,NO_FUNCTION,,
00016b83,peripheral_block_ff70_ff88_warm_init,NO_FUNCTION,,
00016c09,f978_read_and_clear,NO_FUNCTION,,
00016c13,f978_increment_on_ff73_bit0,NO_FUNCTION,,
00016c33,ff88_set_scaled_clamped,NO_FUNCTION,,
00016c4f,isr_tpu3_tgi3a,NO_FUNCTION,,
00016d40,pwm_ch0_period_track_update,NO_FUNCTION,,
00016e1c,pwm_ch1_period_track_update,NO_FUNCTION,,
00016ef8,isr_tpu3_tgi3b,NO_FUNCTION,,
00016f23,f9a0_read_clear_bit0_atomic,NO_FUNCTION,,
00016f3b,f9a0_read_clear_bit4_atomic,NO_FUNCTION,,
00016f53,f9a0_read_clear_bit8_atomic,NO_FUNCTION,,
00016f6b,peripheral_block_ff00_cold_init,NO_FUNCTION,,
00016fe2,peripheral_block_ff00_warm_init,NO_FUNCTION,,
0001709a,sci1_rx_setup,NO_FUNCTION,,
000170eb,sci1_tx_setup,NO_FUNCTION,,
00017154,ff0d_clear_bits5_6,NO_FUNCTION,,
0001715e,stub_empty_0x1715e,NO_FUNCTION,,
00017160,adc_sensor_convert_multi,NO_FUNCTION,,
000171c3,adc_sensor_convert_single,NO_FUNCTION,,
00017206,byte_sum_banked,NO_FUNCTION,,
0001722b,sum_byte_array,NO_FUNCTION,,
00017256,memcpy_banked,NO_FUNCTION,,
00017300,stub_empty_0x17300,APPLIED,00017300,FUN_00017300
00017302,engine_state_f498_init,UNVERIFIED_HASH_MISMATCH,00017302,FUN_00017302
00017361,periodic_task_dispatcher,NO_FUNCTION,,
000173c0,ign_advance_f0e6_bit7_update,APPLIED,000173c0,FUN_000173c0
000173e0,ign_advance_table_lookup,UNVERIFIED_HASH_MISMATCH,000173e0,FUN_000173e0
000174a1,engine_mode_f20e_f510_check,APPLIED,000174a1,engine_mode_f20e_f510_check
000174c0,isc_f0e6_bit0_update,APPLIED,000174c0,FUN_000174c0
000174d4,knock_condition_eval,APPLIED,000174d4,knock_condition_eval
000175f0,isc_target_calc_and_store,APPLIED,000175f0,FUN_000175f0
00017654,isc_condition_eval,APPLIED,00017654,FUN_00017654
00017742,isc_stepper_enable_check,APPLIED,00017742,FUN_00017742
0001792f,isc_decel_fuel_cut_check,APPLIED,0001792f,isc_decel_fuel_cut_check
0001799f,isc_f03e_f45a_timer_update,APPLIED,0001799f,isc_f03e_f45a_timer_update
000179e5,isc_stepper_mode_dispatch,APPLIED,000179e5,FUN_000179e5
00017a94,isc_stepper_position_calc,APPLIED,00017a94,FUN_00017a94
00017bc2,isc_stepper_secondary_position_calc,APPLIED,00017bc2,FUN_00017bc2
00017c75,isc_openloop_target_calc,APPLIED,00017c75,FUN_00017c75
00017dd3,isc_integrator_update,APPLIED,00017dd3,FUN_00017dd3
0001821d,isc_stepper_blend_from_struct,APPLIED,0001821d,FUN_0001821d
000182e8,isc_stepper_output_calc,APPLIED,000182e8,FUN_000182e8
00018357,isc_f462_integrator_update,APPLIED,00018357,FUN_00018357
0001842b,isc_dashpot_override_check,APPLIED,0001842b,isc_dashpot_override_check
00018450,isc_f462_position_ramp,APPLIED,00018450,FUN_00018450
000184c3,isc_openloop_stepper_scale_calc,APPLIED,000184c3,FUN_000184c3
00018502,isc_activation_control_f466,APPLIED,00018502,FUN_00018502
000185a6,f0ea_bit6_update_from_mode_check,APPLIED,000185a6,FUN_000185a6
000185de,engine_mode_f512_bit4_check,APPLIED,000185de,engine_mode_f512_bit4_check
00018600,egr_f0e6_bit1_update,APPLIED,00018600,FUN_00018600
00018628,egr_activity_condition_check,APPLIED,00018628,egr_activity_condition_check
00018650,egr_target_f448_update,APPLIED,00018650,FUN_00018650
00018689,egr_coolant_rpm_enable_check,APPLIED,00018689,egr_coolant_rpm_enable_check
000186fa,egr_duty_target_calc,APPLIED,000186fa,FUN_000186fa
000187a0,egr_mode_dispatch,APPLIED,000187a0,FUN_000187a0
000187cf,egr_sequence_control,APPLIED,000187cf,FUN_000187cf
00018848,egr_valve_state_eval_f490,APPLIED,00018848,FUN_00018848
000189c0,egr_f490_condition_flags_update,APPLIED,000189c0,egr_f490_condition_flags_update
00018a55,check_hysteresis_gate_f490,APPLIED,00018a55,check_hysteresis_gate_f490
00018ae5,check_mode_gate_f510,APPLIED,00018ae5,check_mode_gate_f510
00018b17,egr_f490_gear_transition_update,APPLIED,00018b17,egr_f490_gear_transition_update
00018b63,egr_f0e6_valve_bits_update,APPLIED,00018b63,egr_f0e6_valve_bits_update
00018bc2,egr_position_target_f494_calc,APPLIED,00018bc2,FUN_00018bc2
00018cd0,egr_table_row_lookup_f496,APPLIED,00018cd0,FUN_00018cd0
00018db0,purge_f0e6_bit2_update,APPLIED,00018db0,FUN_00018db0
00018dca,purge_enable_check,UNVERIFIED_HASH_MISMATCH,00018dca,FUN_00018dca
00018e70,ign_advance_top_update,APPLIED,00018e70,FUN_00018e70
00018e93,ign_advance_enable_flags_f440_update,APPLIED,00018e93,ign_advance_enable_flags_f440_update
00018f8a,ign_advance_base_calc_f860,UNVERIFIED_HASH_MISMATCH,00018f8a,FUN_00018f8a
00018fe0,wgdc_correction_integrator_update,NO_FUNCTION,,
000190df,ign_advance_idle_correction_f44e,NO_FUNCTION,,
00019110,wgdc_output_clamp_f44c,NO_FUNCTION,,
000191a0,ign_advance_load_correction_f450,NO_FUNCTION,,
000191f0,rpm_map_zone_flags_f43e_update,NO_FUNCTION,,
00019240,f0ea_bit7_rpm_zone_update,NO_FUNCTION,,
0001928e,f0ea_bit7_f43e_bit3_clear,NO_FUNCTION,,
000192ac,rpm_zone_enable_check,NO_FUNCTION,,
00019350,f0e6_bit6_update,NO_FUNCTION,,
00019364,ign_advance_rpm_zone_enable_check,NO_FUNCTION,,
000193f0,stub_empty_193f0,NO_FUNCTION,,
00019400,canister_purge_control_flags_f4d6_update,NO_FUNCTION,,
000194d0,canister_purge_mode_dispatch,NO_FUNCTION,,
000194f2,canister_purge_gear_mode_select_f4a2,NO_FUNCTION,,
0001952c,canister_purge_feedback_active_check,NO_FUNCTION,,
00019560,canister_purge_duty_calc_f4ac,UNVERIFIED_HASH_MISMATCH,00019560,FUN_00019560
00019640,diagnostic_status_f4b4_build,UNVERIFIED_HASH_MISMATCH,00019640,FUN_00019640
00019720,o2_sensor_control_dispatch,NO_FUNCTION,,
000197f4,o2_upstream_enable_check,NO_FUNCTION,,
000198f2,o2_downstream_enable_check,NO_FUNCTION,,
000199f0,calc_load_correction_f10e,NO_FUNCTION,,
00019af0,o2_heater_fuel_ctrl_top_update,NO_FUNCTION,,
00019b2a,o2_heater_timer_f088_update,NO_FUNCTION,,
00019b5e,o2_heater_iat_zone_select_f4f0,NO_FUNCTION,,
00019bbc,o2_heater_duty_f4da_calc,NO_FUNCTION,,
00019cb3,o2_heater_duty_downstream_correction,NO_FUNCTION,,
00019d0e,o2_heater_soak_enable_check,NO_FUNCTION,,
00019d4b,o2_heater_force_off_check,NO_FUNCTION,,
00019d80,channel_dispatch_and_snapshot_update,NO_FUNCTION,,
00019e6d,channel_event_or_periodic_dispatch,NO_FUNCTION,,
00019efa,channel_data_flush_if_active,NO_FUNCTION,,
00019f35,o2_lambda_or_passthrough_select,NO_FUNCTION,,
00019f49,o2_sensor_gain_divisor,NO_FUNCTION,,
00019f77,o2_wideband_mode_zero_check,NO_FUNCTION,,
00019f90,o2_wideband_cell_offset_adjust,NO_FUNCTION,,
00019ff2,o2_wideband_midpoint_select,NO_FUNCTION,,
0001a00c,o2_lambda_correction_apply,NO_FUNCTION,,
0001a042,o2_sensor_mode_correction_select,NO_FUNCTION,,
0001a0a7,o2_wideband_lsu_mode_check,NO_FUNCTION,,
0001a0c4,o2_mode7_8_correction_apply,NO_FUNCTION,,
0001a0fa,o2_mode9_10_correction_apply,NO_FUNCTION,,
0001a130,o2_mode11_lambda_select,NO_FUNCTION,,
0001a146,o2_mode16_lambda_select,NO_FUNCTION,,
0001a15c,o2_closed_loop_config_check,NO_FUNCTION,,
0001a182,o2_sensor2_correction_apply,NO_FUNCTION,,
0001a1b9,o2_sensor2_mode3_midpoint,NO_FUNCTION,,
0001a1cc,o2_downstream_type34_check,NO_FUNCTION,,
0001a1e5,o2_downstream_clamp_by_type,NO_FUNCTION,,
0001a205,o2_wideband_mode82_check,NO_FUNCTION,,
0001a212,o2_sensor2_mode20_select,NO_FUNCTION,,
0001a228,o2_downstream_mode20_select,NO_FUNCTION,,
0001a23e,o2_downstream_mode21_select,NO_FUNCTION,,
0001a254,o2_config4_mode16_check,NO_FUNCTION,,
0001a261,o2_downstream_mode17_check,NO_FUNCTION,,
0001a26e,o2_downstream_correction_apply,NO_FUNCTION,,
0001a2a4,o2_downstream_mode64_select,NO_FUNCTION,,
0001a2ba,o2_downstream_mode66_select,NO_FUNCTION,,
0001a2d0,o2_mode65_lambda_select,NO_FUNCTION,,
0001a2e6,o2_downstream_mode48_select,NO_FUNCTION,,
0001a300,o2_trim_cell_states_reset,NO_FUNCTION,,
0001a306,fuel_trim_full_state_reset,NO_FUNCTION,,
0001a30c,dtc_and_status_update,NO_FUNCTION,,
0001a31a,status_flags_f202_build,NO_FUNCTION,,
0001a36f,dtc_status_flags_f204_f206_build,NO_FUNCTION,,
00020000,flash_boot_init,APPLIED,00020000,FUN_00020000
00020024,boot_ram_block_copy,APPLIED,00020024,boot_ram_block_copy
00020030,boot_main_loop,NO_FUNCTION,,
00020048,boot_sci1_init,APPLIED,00020048,boot_sci1_init
0002006e,boot_sci1_receive_command,NO_FUNCTION,,
00020084,boot_sci1_receive_config_bytes,APPLIED,00020084,FUN_00020084
00020104,boot_sci1_rom_id_verify,UNVERIFIED_HASH_MISMATCH,00020104,FUN_00020104
0002014c,sci1_boot_cmd_type_rx_validate,APPLIED,0002014c,FUN_0002014c
0002016e,sci1_boot_cmd_dispatch,APPLIED,0002016e,FUN_0002016e
000201c0,sci1_boot_security_seed_check,APPLIED,000201c0,sci1_boot_security_seed_check
000201ec,sci1_boot_flash_erase_dispatch,NO_FUNCTION,,
000202b2,sci1_boot_checksum_accumulate,APPLIED,000202b2,sci1_boot_checksum_accumulate
000202c9,sci1_boot_flash_write_param_rx,NO_FUNCTION,,
0002036d,scratch_pjmp_demo,NO_FUNCTION,,
00020379,sci1_tx_byte_blocking,APPLIED,00020379,sci1_tx_byte_blocking
00020388,sci1_boot_tx_then_rx_transaction,APPLIED,00020388,FUN_00020388
0002038d,sci1_rx_byte_wait_loop,APPLIED,0002038d,FUN_0002038d
00020398,sci1_boot_rx_byte_enqueue,APPLIED,00020398,FUN_00020398
0002039f,sci1_boot_rxbuf_write,APPLIED,0002039f,sci1_boot_rxbuf_write
000203bd,sci1_boot_rxbuf_read,APPLIED,000203bd,sci1_boot_rxbuf_read
000203e4,sci1_rx_byte_poll_or_error,APPLIED,000203e4,FUN_000203e4
0002041b,sci1_boot_tx_buf_drain,UNVERIFIED_HASH_MISMATCH,0002041b,FUN_0002041b
0002042c,sci1_boot_handshake_and_bulk_rx,UNVERIFIED_HASH_MISMATCH,0002042c,FUN_0002042c
00020461,sci1_boot_flash_addr_range_validate,NO_FUNCTION,,
000204dd,sci1_boot_flash_write_block_loop,APPLIED,000204dd,FUN_000204dd
000205a7,sci1_boot_build_data_frame,APPLIED,000205a7,sci1_boot_build_data_frame
000205fe,sci1_boot_build_row_addr_frame,APPLIED,000205fe,FUN_000205fe
00020640,sci1_boot_switch_case4_frag_20640,NO_FUNCTION,,
00020646,sci1_boot_build_eof_frame,APPLIED,00020646,sci1_boot_build_eof_frame
00020664,sci1_colon_frame_dispatch,UNVERIFIED_HASH_MISMATCH,00020664,FUN_00020664
00020715,sci1_boot_ihex_colon_record_decode_dispatch,NO_FUNCTION,,
00020782,f26e_cluster_accumulator_unrelated_to_ihex,NO_FUNCTION,,
0002080c,flash_erase_sectors,APPLIED,0002080c,FUN_0002080c
00020844,flash_write_or_verify,APPLIED,00020844,FUN_00020844
00020888,flash_write_marked_blocks_loop,APPLIED,00020888,FUN_00020888
000208c6,flash_byte_program_verify,APPLIED,000208c6,flash_byte_program_verify
00020910,flash_timing_delay,APPLIED,00020910,flash_timing_delay
0002093c,flash_erase_sector_loop,APPLIED,0002093c,flash_erase_sector_loop
00020992,flash_vpp_pulse_handshake_echo_verify,NO_FUNCTION,,
00020a80,main_loop,APPLIED,00020a80,FUN_00020a80
00020b00,cold_init_dispatch,APPLIED,00020b00,FUN_00020b00
00020b1c,subsystem_cold_init,APPLIED,00020b1c,FUN_00020b1c
00020b5e,check_cold_init_complete_sentinel_ef62,APPLIED,00020b5e,FUN_00020b5e
00020ccd,subsystem_unconditional_init_chain,APPLIED,00020ccd,FUN_00020ccd
00020d80,peripheral_cold_init_wrapper_set_ef7a,APPLIED,00020d80,FUN_00020d80
00020d8b,status_word_consumer_periodic,APPLIED,00020d8b,FUN_00020d8b
00020e00,init_ee82_ee8a_from_rom_const,APPLIED,00020e00,init_ee82_ee8a_from_rom_const
00020e10,post_init_status_compose_and_ef98_signal,APPLIED,00020e10,FUN_00020e10
00020e89,table_select_scale_fanout_f1be_f1c2,APPLIED,00020e89,FUN_00020e89
00020efa,main_loop_engine_control_update,UNVERIFIED_HASH_MISMATCH,00020efa,FUN_00020efa
00020f28,gear_state_config_loader_f1fc,UNVERIFIED_HASH_MISMATCH,00020f28,FUN_00020f28
00020fb1,cond_reset_and_latch_f10e_f118_prev,APPLIED,00020fb1,cond_reset_and_latch_f10e_f118_prev
00020fe5,periodic_status_compose_and_stall_check,APPLIED,00020fe5,FUN_00020fe5
00021003,compose_status_word_f0f8,UNVERIFIED_HASH_MISMATCH,00021003,FUN_00021003
00021107,fuel_cut_enable_check,NO_FUNCTION,,
000211a1,fuel_cut_rpm_offset_select,NO_FUNCTION,,
000211c8,crank_stall_detect_update,NO_FUNCTION,,
000211fb,sensor_adc_update,NO_FUNCTION,,
00021219,map_tps_axis_update,NO_FUNCTION,,
0002127f,tps_range_clamp_update,NO_FUNCTION,,
00021314,calc_f110_f10e_via_table,NO_FUNCTION,,
00021396,iat_axis_update,NO_FUNCTION,,
000213da,calc_f118_via_table,NO_FUNCTION,,
00021414,coolant_temp_validity_and_scale,NO_FUNCTION,,
0002144b,coolant_temp_range_check,NO_FUNCTION,,
00021480,manifold_heat_enable_flag_update,NO_FUNCTION,,
000214ea,tps_delta_calc,NO_FUNCTION,,
0002153b,iac_position_integrator,NO_FUNCTION,,
000215c8,idle_closed_loop_ready_check,NO_FUNCTION,,
00021636,throttle_target_ramp_update,NO_FUNCTION,,
000217b6,throttle_ramp_enable_check,NO_FUNCTION,,
000217e3,throttle_body_update,NO_FUNCTION,,
0002180b,engine_torque_scale_state_reset,NO_FUNCTION,,
0002184b,engine_torque_pct_scale_calc,NO_FUNCTION,,
000218c0,throttle_body_pos_error_calc,NO_FUNCTION,,
00021928,throttle_param_table_select,NO_FUNCTION,,
00021942,lambda_enable_flag_update,NO_FUNCTION,,
00021962,lambda_enable_inhibit_check,NO_FUNCTION,,
00021983,lambda_correction_output_calc,NO_FUNCTION,,
000219e2,fueling_lambda_update,NO_FUNCTION,,
00021a0e,fueling_base_injection_calc,NO_FUNCTION,,
00021aa5,fueling_accel_enrichment_calc,NO_FUNCTION,,
